"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"40321-98-0","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.62","5.01","8.13","8.02"
"40321-98-0","CTV Reference Dose (RfD)","mg/(kg·day)","0.0695","0.00217","2.83","8.02"
"40321-98-0","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.22","2.61","5.66","2.41"
"40321-98-0","CTV Reference Dose NO(A)EL","mg/(kg·day)","17.7","0.638","710","2.41"
"40321-98-0","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.71","1.71","5.65","3.85"
"40321-98-0","CTV Reference Dose (RfD) BMD","mg/(kg·day)","57.0","0.658","5.68e+3","3.85"
"40321-98-0","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.07","2.29","5.79","3.85"
"40321-98-0","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","24.9","0.477","1.50e+3","3.85"
"40321-98-0","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.08","5.69","10.1","11.0"
"40321-98-0","CTV Reference Concentration (RfC)","mg/m3","0.00242","2.32e-5","0.599","11.0"
"40321-98-0","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.81","2.83","6.65","12.9"
"40321-98-0","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.223","0.00229","15.2","12.9"
"40321-98-0","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.66","3.68","7.71","12.0"
"40321-98-0","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.56","0.0165","176","12.0"
"40321-98-0","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.81","2.42","6.67","8.64"
"40321-98-0","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.219","9.05e-4","16.0","8.64"
