"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"35065-28-2","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","10.2","8.64","11.8","27.1"
"35065-28-2","CTV Reference Dose (RfD)","mg/(kg·day)","2.05e-5","6.40e-7","8.35e-4","27.1"
"35065-28-2","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.94","4.33","7.38","14.2"
"35065-28-2","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.417","0.0150","16.7","14.2"
"35065-28-2","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.68","3.68","7.62","3.72"
"35065-28-2","CTV Reference Dose (RfD) BMD","mg/(kg·day)","0.759","0.00875","75.6","3.72"
"35065-28-2","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.87","4.09","7.59","3.72"
"35065-28-2","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.488","0.00936","29.5","3.72"
"35065-28-2","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.28","6.88","11.3","7.26"
"35065-28-2","CTV Reference Concentration (RfC)","mg/m3","1.90e-4","1.82e-6","0.0471","7.26"
"35065-28-2","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.79","4.80","8.62","52.9"
"35065-28-2","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","17.0","0.174","1.16e+3","52.9"
"35065-28-2","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.98","5.01","9.04","44.9"
"35065-28-2","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","26.7","0.281","3.00e+3","44.9"
"35065-28-2","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","6.59","4.20","8.45","7.31"
"35065-28-2","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","10.7","0.0440","781","7.31"
