"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.44","5.83","8.94","-0.0360"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD)","mg/(kg·day)","0.00516","1.61e-4","0.211","-0.0360"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","3.99","2.39","5.44","-0.0850"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose NO(A)EL","mg/(kg·day)","14.4","0.519","578","-0.0850"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.02","2.02","5.96","1.29"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD) BMD","mg/(kg·day)","13.5","0.156","1.35e+3","1.29"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.41","2.63","6.13","1.29"
"DIMETHYL THIOPHOSPHATE","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","5.47","0.105","330","1.29"
"DIMETHYL THIOPHOSPHATE","CTV Reference Concentration (RfC)","  -Log10Mol/m3","7.19","4.79","9.21","1.19"
"DIMETHYL THIOPHOSPHATE","CTV Reference Concentration (RfC)","mg/m3","0.00922","8.83e-5","2.28","1.19"
"DIMETHYL THIOPHOSPHATE","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.29","2.30","6.12","0.530"
"DIMETHYL THIOPHOSPHATE","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.136","0.00140","9.30","0.530"
"DIMETHYL THIOPHOSPHATE","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.96","2.98","7.01","0.960"
"DIMETHYL THIOPHOSPHATE","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.635","0.00668","71.3","0.960"
"DIMETHYL THIOPHOSPHATE","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.70","2.32","6.57","2.26"
"DIMETHYL THIOPHOSPHATE","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.355","0.00146","25.9","2.26"
