"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"1-NAPHTHOL","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.11","5.50","8.62","13.5"
"1-NAPHTHOL","CTV Reference Dose (RfD)","mg/(kg·day)","0.0111","3.47e-4","0.452","13.5"
"1-NAPHTHOL","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","3.90","2.30","5.34","2.96"
"1-NAPHTHOL","CTV Reference Dose NO(A)EL","mg/(kg·day)","18.1","0.653","727","2.96"
"1-NAPHTHOL","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.47","1.47","5.41","2.43"
"1-NAPHTHOL","CTV Reference Dose (RfD) BMD","mg/(kg·day)","49.0","0.566","4.89e+3","2.43"
"1-NAPHTHOL","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.69","1.91","5.41","2.43"
"1-NAPHTHOL","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","29.2","0.560","1.76e+3","2.43"
"1-NAPHTHOL","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.13","5.74","10.2","4.25"
"1-NAPHTHOL","CTV Reference Concentration (RfC)","mg/m3","0.00106","1.01e-5","0.262","4.25"
"1-NAPHTHOL","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.73","2.74","6.56","33.2"
"1-NAPHTHOL","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.372","0.00381","25.4","33.2"
"1-NAPHTHOL","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.45","3.47","7.50","28.3"
"1-NAPHTHOL","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.96","0.0206","220","28.3"
"1-NAPHTHOL","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.19","1.81","6.06","6.37"
"1-NAPHTHOL","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.109","4.48e-4","7.94","6.37"
