"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.32","5.71","8.82","24.5"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0111","3.48e-4","0.454","24.5"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.85","3.25","6.30","7.31"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","3.25","0.117","130","7.31"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.06","2.06","5.99","4.57"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","20.4","0.236","2.04e+3","4.57"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.50","2.71","6.21","4.57"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","7.43","0.142","448","4.57"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.26","6.87","11.3","7.56"
"4-Fluoro-3-phenoxybenzoic acid","CTV Reference Concentration (RfC)","mg/m3","1.26e-4","1.21e-6","0.0313","7.56"
"4-Fluoro-3-phenoxybenzoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.75","2.76","6.59","51.8"
"4-Fluoro-3-phenoxybenzoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.243","0.00249","16.6","51.8"
"4-Fluoro-3-phenoxybenzoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.61","3.63","7.66","44.2"
"4-Fluoro-3-phenoxybenzoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.75","0.0184","197","44.2"
"4-Fluoro-3-phenoxybenzoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.69","2.31","6.56","8.35"
"4-Fluoro-3-phenoxybenzoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.212","8.73e-4","15.5","8.35"
