"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.70","5.09","8.21","9.03"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0611","0.00191","2.49","9.03"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.14","2.54","5.58","2.86"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","22.4","0.807","898","2.86"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.83","1.83","5.76","5.68"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","46.0","0.531","4.58e+3","5.68"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.16","2.38","5.88","5.68"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","21.2","0.406","1.28e+3","5.68"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.22","5.82","10.2","15.4"
"2-Ethyl-5-carboxypentyl phthalate","CTV Reference Concentration (RfC)","mg/m3","0.00187","1.79e-5","0.464","15.4"
"2-Ethyl-5-carboxypentyl phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.94","2.95","6.77","13.7"
"2-Ethyl-5-carboxypentyl phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.283","0.00290","19.3","13.7"
"2-Ethyl-5-carboxypentyl phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.90","3.92","7.95","13.1"
"2-Ethyl-5-carboxypentyl phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","2.57","0.0270","289","13.1"
"2-Ethyl-5-carboxypentyl phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.92","2.54","6.78","10.2"
"2-Ethyl-5-carboxypentyl phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.270","0.00111","19.7","10.2"
