"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.64","6.03","9.14","21.6"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.00918","2.87e-4","0.374","21.6"
"Perfluorohexanesulfonic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.97","4.36","7.41","14.0"
"Perfluorohexanesulfonic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.434","0.0156","17.4","14.0"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.62","2.62","6.55","6.99"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","9.71","0.112","967","6.99"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.93","3.14","6.64","6.99"
"Perfluorohexanesulfonic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","4.75","0.0912","287","6.99"
"Perfluorohexanesulfonic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.44","6.05","10.5","23.5"
"Perfluorohexanesulfonic acid","CTV Reference Concentration (RfC)","mg/m3","0.00144","1.38e-5","0.357","23.5"
"Perfluorohexanesulfonic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.56","2.58","6.40","9.46"
"Perfluorohexanesulfonic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.0918","9.42e-4","6.26","9.46"
"Perfluorohexanesulfonic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.49","3.52","7.54","8.11"
"Perfluorohexanesulfonic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.778","0.00819","87.5","8.11"
"Perfluorohexanesulfonic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.01","2.62","6.87","12.3"
"Perfluorohexanesulfonic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.255","0.00105","18.6","12.3"
