"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"3-Phenanthrol","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.26","5.65","8.76","29.6"
"3-Phenanthrol","CTV Reference Dose (RfD)","mg/(kg·day)","0.0108","3.37e-4","0.440","29.6"
"3-Phenanthrol","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.23","2.63","5.67","7.34"
"3-Phenanthrol","CTV Reference Dose NO(A)EL","mg/(kg·day)","11.4","0.412","459","7.34"
"3-Phenanthrol","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.63","1.63","5.57","5.62"
"3-Phenanthrol","CTV Reference Dose (RfD) BMD","mg/(kg·day)","45.3","0.522","4.51e+3","5.62"
"3-Phenanthrol","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.99","2.21","5.71","5.62"
"3-Phenanthrol","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","19.7","0.378","1.19e+3","5.62"
"3-Phenanthrol","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.60","7.20","11.6","11.4"
"3-Phenanthrol","CTV Reference Concentration (RfC)","mg/m3","4.91e-5","4.70e-7","0.0122","11.4"
"3-Phenanthrol","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.16","3.17","6.99","61.9"
"3-Phenanthrol","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.736","0.00755","50.2","61.9"
"3-Phenanthrol","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.02","4.05","8.07","52.9"
"3-Phenanthrol","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","5.43","0.0571","610","52.9"
"3-Phenanthrol","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.11","2.72","6.97","12.4"
"3-Phenanthrol","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.661","0.00273","48.3","12.4"
