"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Heptafluorobutyric acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.90","5.29","8.41","2.91"
"Heptafluorobutyric acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0266","8.33e-4","1.09","2.91"
"Heptafluorobutyric acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.92","3.31","6.36","1.77"
"Heptafluorobutyric acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","2.59","0.0933","104","1.77"
"Heptafluorobutyric acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.20","2.21","6.14","0.784"
"Heptafluorobutyric acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","13.4","0.154","1.33e+3","0.784"
"Heptafluorobutyric acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.45","2.67","6.16","0.784"
"Heptafluorobutyric acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","7.63","0.146","461","0.784"
"Heptafluorobutyric acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","7.30","4.90","9.32","2.53"
"Heptafluorobutyric acid","CTV Reference Concentration (RfC)","mg/m3","0.0108","1.03e-4","2.67","2.53"
"Heptafluorobutyric acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.55","2.56","6.38","1.22"
"Heptafluorobutyric acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.164","0.00169","11.2","1.22"
"Heptafluorobutyric acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.13","3.16","7.19","2.09"
"Heptafluorobutyric acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.637","0.00671","71.6","2.09"
"Heptafluorobutyric acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.18","1.79","6.04","3.66"
"Heptafluorobutyric acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0703","2.90e-4","5.14","3.66"
