"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluorononanoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.67","6.06","9.18","38.8"
"Perfluorononanoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.00983","3.07e-4","0.401","38.8"
"Perfluorononanoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","6.07","4.46","7.51","25.2"
"Perfluorononanoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.396","0.0143","15.9","25.2"
"Perfluorononanoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.48","2.49","6.42","10.7"
"Perfluorononanoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","15.2","0.176","1.52e+3","10.7"
"Perfluorononanoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.79","3.01","6.51","10.7"
"Perfluorononanoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","7.50","0.144","453","10.7"
"Perfluorononanoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.32","5.93","10.3","38.5"
"Perfluorononanoic acid","CTV Reference Concentration (RfC)","mg/m3","0.00222","2.13e-5","0.550","38.5"
"Perfluorononanoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.61","2.62","6.45","11.6"
"Perfluorononanoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.0884","9.07e-4","6.03","11.6"
"Perfluorononanoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.61","3.63","7.66","10.1"
"Perfluorononanoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.873","0.00918","98.1","10.1"
"Perfluorononanoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.03","2.65","6.90","17.0"
"Perfluorononanoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.232","9.55e-4","16.9","17.0"
