"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"189084-64-8","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","9.86","8.25","11.4","31.9"
"189084-64-8","CTV Reference Dose (RfD)","mg/(kg·day)","7.82e-5","2.44e-6","0.00319","31.9"
"189084-64-8","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.95","4.34","7.39","15.5"
"189084-64-8","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.639","0.0231","25.7","15.5"
"189084-64-8","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.78","3.79","7.72","6.93"
"189084-64-8","CTV Reference Dose (RfD) BMD","mg/(kg·day)","0.929","0.0107","92.6","6.93"
"189084-64-8","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","6.01","4.23","7.73","6.93"
"189084-64-8","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.549","0.0105","33.2","6.93"
"189084-64-8","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.43","7.04","11.4","12.2"
"189084-64-8","CTV Reference Concentration (RfC)","mg/m3","2.09e-4","2.01e-6","0.0519","12.2"
"189084-64-8","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.52","4.53","8.35","49.8"
"189084-64-8","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","5.84","0.0599","398","49.8"
"189084-64-8","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.78","4.80","8.83","43.2"
"189084-64-8","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","10.6","0.111","1.19e+3","43.2"
"189084-64-8","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","6.73","4.34","8.59","11.1"
"189084-64-8","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","9.50","0.0392","695","11.1"
