"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Monoethyl phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.83","5.22","8.34","4.82"
"Monoethyl phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0285","8.93e-4","1.16","4.82"
"Monoethyl phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.56","2.96","6.01","1.74"
"Monoethyl phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","5.32","0.192","214","1.74"
"Monoethyl phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.87","1.88","5.81","1.98"
"Monoethyl phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","25.9","0.299","2.58e+3","1.98"
"Monoethyl phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.27","2.49","5.98","1.98"
"Monoethyl phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","10.5","0.201","634","1.98"
"Monoethyl phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.41","6.02","10.4","4.58"
"Monoethyl phthalate","CTV Reference Concentration (RfC)","mg/m3","7.57e-4","7.25e-6","0.187","4.58"
"Monoethyl phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.53","2.54","6.37","10.7"
"Monoethyl phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.175","0.00180","12.0","10.7"
"Monoethyl phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.98","3.00","7.03","9.11"
"Monoethyl phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.487","0.00512","54.7","9.11"
"Monoethyl phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.13","1.75","6.00","3.92"
"Monoethyl phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0700","2.89e-4","5.12","3.92"
