"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"cotinine","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.96","5.35","8.47","4.82"
"cotinine","CTV Reference Dose (RfD)","mg/(kg·day)","0.0191","5.99e-4","0.780","4.82"
"cotinine","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.20","2.59","5.64","1.62"
"cotinine","CTV Reference Dose NO(A)EL","mg/(kg·day)","11.2","0.405","451","1.62"
"cotinine","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.47","1.47","5.40","1.46"
"cotinine","CTV Reference Dose (RfD) BMD","mg/(kg·day)","60.4","0.697","6.01e+3","1.46"
"cotinine","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.70","1.92","5.42","1.46"
"cotinine","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","35.1","0.673","2.12e+3","1.46"
"cotinine","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.39","6.00","10.4","3.21"
"cotinine","CTV Reference Concentration (RfC)","mg/m3","7.16e-4","6.86e-6","0.177","3.21"
"cotinine","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.31","3.32","7.15","10.1"
"cotinine","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","1.16","0.0119","79.3","10.1"
"cotinine","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.93","3.95","7.98","8.49"
"cotinine","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","4.78","0.0503","537","8.49"
"cotinine","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.51","2.13","6.38","5.00"
"cotinine","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.184","7.60e-4","13.5","5.00"
