"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Monobenzyl phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.96","5.35","8.47","27.3"
"Monobenzyl phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0278","8.70e-4","1.13","27.3"
"Monobenzyl phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.55","2.94","5.99","6.32"
"Monobenzyl phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","7.26","0.262","291","6.32"
"Monobenzyl phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.98","1.98","5.92","5.07"
"Monobenzyl phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","26.9","0.310","2.68e+3","5.07"
"Monobenzyl phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.31","2.53","6.02","5.07"
"Monobenzyl phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","12.7","0.243","764","5.07"
"Monobenzyl phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.71","6.32","10.7","12.4"
"Monobenzyl phthalate","CTV Reference Concentration (RfC)","mg/m3","4.94e-4","4.73e-6","0.122","12.4"
"Monobenzyl phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.94","2.96","6.78","61.1"
"Monobenzyl phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.343","0.00352","23.4","61.1"
"Monobenzyl phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.08","4.10","8.13","52.4"
"Monobenzyl phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","4.71","0.0496","529","52.4"
"Monobenzyl phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.46","3.07","7.32","10.4"
"Monobenzyl phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","1.12","0.00460","81.6","10.4"
