"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","9.86","8.24","11.4","31.8"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD)","mg/(kg·day)","7.88e-5","2.46e-6","0.00321","31.8"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.96","4.35","7.40","15.4"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.626","0.0226","25.1","15.4"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.79","3.79","7.72","6.82"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD) BMD","mg/(kg·day)","0.923","0.0106","91.9","6.82"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","6.01","4.23","7.72","6.82"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.557","0.0107","33.6","6.82"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.44","7.05","11.5","11.7"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Reference Concentration (RfC)","mg/m3","2.04e-4","1.96e-6","0.0506","11.7"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.53","4.54","8.37","49.7"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","6.05","0.0621","413","49.7"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.77","4.79","8.82","43.1"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","10.5","0.110","1.18e+3","43.1"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","6.75","4.37","8.62","11.0"
"2,2',4,4',5-Pentabromodiphenyl ether","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","10.1","0.0415","736","11.0"
