"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.78","6.17","9.28","42.1"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.00837","2.62e-4","0.341","42.1"
"Perfluorooctanesulfonic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","6.17","4.56","7.61","27.4"
"Perfluorooctanesulfonic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.342","0.0123","13.7","27.4"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.63","2.63","6.57","12.2"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","11.8","0.136","1.17e+3","12.2"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.92","3.14","6.64","12.2"
"Perfluorooctanesulfonic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","6.03","0.116","364","12.2"
"Perfluorooctanesulfonic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.55","6.16","10.6","45.8"
"Perfluorooctanesulfonic acid","CTV Reference Concentration (RfC)","mg/m3","0.00140","1.34e-5","0.346","45.8"
"Perfluorooctanesulfonic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.67","2.68","6.50","14.4"
"Perfluorooctanesulfonic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.0928","9.52e-4","6.33","14.4"
"Perfluorooctanesulfonic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.58","3.60","7.63","12.5"
"Perfluorooctanesulfonic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.762","0.00802","85.6","12.5"
"Perfluorooctanesulfonic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.19","2.81","7.06","20.0"
"Perfluorooctanesulfonic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.311","0.00128","22.7","20.0"
