"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Triclocarban","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.58","5.97","9.08","25.9"
"Triclocarban","CTV Reference Dose (RfD)","mg/(kg·day)","0.00832","2.60e-4","0.339","25.9"
"Triclocarban","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.13","3.53","6.58","8.81"
"Triclocarban","CTV Reference Dose NO(A)EL","mg/(kg·day)","2.32","0.0837","93.2","8.81"
"Triclocarban","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.56","2.56","6.50","5.24"
"Triclocarban","CTV Reference Dose (RfD) BMD","mg/(kg·day)","8.72","0.101","869","5.24"
"Triclocarban","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.83","3.05","6.55","5.24"
"Triclocarban","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","4.66","0.0893","281","5.24"
"Triclocarban","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.68","7.29","11.7","14.1"
"Triclocarban","CTV Reference Concentration (RfC)","mg/m3","6.56e-5","6.28e-7","0.0162","14.1"
"Triclocarban","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.44","3.45","7.28","48.3"
"Triclocarban","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.879","0.00902","59.9","48.3"
"Triclocarban","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.39","4.41","8.44","41.2"
"Triclocarban","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","7.81","0.0822","878","41.2"
"Triclocarban","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.93","3.54","7.79","8.27"
"Triclocarban","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","2.68","0.0111","196","8.27"
