"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2,5-dichlorophenol","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.35","5.74","8.86","5.04"
"2,5-dichlorophenol","CTV Reference Dose (RfD)","mg/(kg·day)","0.00726","2.27e-4","0.296","5.04"
"2,5-dichlorophenol","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.52","2.91","5.96","2.53"
"2,5-dichlorophenol","CTV Reference Dose NO(A)EL","mg/(kg·day)","4.94","0.178","198","2.53"
"2,5-dichlorophenol","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.01","3.01","6.95","0.686"
"2,5-dichlorophenol","CTV Reference Dose (RfD) BMD","mg/(kg·day)","1.58","0.0182","158","0.686"
"2,5-dichlorophenol","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.25","3.47","6.97","0.686"
"2,5-dichlorophenol","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.912","0.0175","55.0","0.686"
"2,5-dichlorophenol","CTV Reference Concentration (RfC)","  -Log10Mol/m3","7.70","5.31","9.72","1.04"
"2,5-dichlorophenol","CTV Reference Concentration (RfC)","mg/m3","0.00322","3.08e-5","0.797","1.04"
"2,5-dichlorophenol","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.57","2.58","6.41","8.57"
"2,5-dichlorophenol","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.229","0.00235","15.6","8.57"
"2,5-dichlorophenol","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.29","3.31","7.34","7.26"
"2,5-dichlorophenol","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.19","0.0125","133","7.26"
"2,5-dichlorophenol","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.87","1.49","5.74","1.89"
"2,5-dichlorophenol","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0458","1.89e-4","3.35","1.89"
