"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.90","5.29","8.40","6.64"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0315","9.85e-4","1.28","6.64"
"Monocyclohexyl phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.34","2.73","5.78","2.35"
"Monocyclohexyl phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","11.4","0.411","458","2.35"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.75","1.75","5.68","3.19"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","44.6","0.514","4.44e+3","3.19"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.04","2.26","5.76","3.19"
"Monocyclohexyl phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","22.5","0.432","1.36e+3","3.19"
"Monocyclohexyl phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.68","6.28","10.7","8.36"
"Monocyclohexyl phthalate","CTV Reference Concentration (RfC)","mg/m3","5.24e-4","5.02e-6","0.130","8.36"
"Monocyclohexyl phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.00","3.01","6.83","12.3"
"Monocyclohexyl phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.398","0.00409","27.2","12.3"
"Monocyclohexyl phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.95","3.97","8.00","11.5"
"Monocyclohexyl phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","3.60","0.0379","405","11.5"
"Monocyclohexyl phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.03","2.65","6.90","7.45"
"Monocyclohexyl phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.434","0.00179","31.8","7.45"
