"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluorohexanoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.39","5.78","8.90","11.9"
"Perfluorohexanoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0127","3.97e-4","0.518","11.9"
"Perfluorohexanoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.57","3.97","7.01","7.64"
"Perfluorohexanoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.843","0.0304","33.9","7.64"
"Perfluorohexanoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.38","2.38","6.32","3.50"
"Perfluorohexanoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","13.0","0.150","1.30e+3","3.50"
"Perfluorohexanoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.69","2.91","6.41","3.50"
"Perfluorohexanoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","6.35","0.122","384","3.50"
"Perfluorohexanoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.09","5.70","10.1","10.1"
"Perfluorohexanoic acid","CTV Reference Concentration (RfC)","mg/m3","0.00254","2.43e-5","0.628","10.1"
"Perfluorohexanoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.56","2.58","6.40","4.75"
"Perfluorohexanoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.117","0.00120","7.97","4.75"
"Perfluorohexanoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.28","3.30","7.33","4.57"
"Perfluorohexanoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.601","0.00632","67.5","4.57"
"Perfluorohexanoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.72","2.33","6.58","7.08"
"Perfluorohexanoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.166","6.86e-4","12.2","7.08"
