"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Ethylparaben","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.07","5.45","8.57","4.35"
"Ethylparaben","CTV Reference Dose (RfD)","mg/(kg·day)","0.0143","4.47e-4","0.583","4.35"
"Ethylparaben","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.46","2.85","5.90","1.40"
"Ethylparaben","CTV Reference Dose NO(A)EL","mg/(kg·day)","5.81","0.210","233","1.40"
"Ethylparaben","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.68","1.69","5.62","1.00"
"Ethylparaben","CTV Reference Dose (RfD) BMD","mg/(kg·day)","34.3","0.396","3.42e+3","1.00"
"Ethylparaben","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.03","2.25","5.74","1.00"
"Ethylparaben","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","15.6","0.299","941","1.00"
"Ethylparaben","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.39","6.00","10.4","1.78"
"Ethylparaben","CTV Reference Concentration (RfC)","mg/m3","6.69e-4","6.41e-6","0.166","1.78"
"Ethylparaben","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.42","2.43","6.25","9.81"
"Ethylparaben","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.158","0.00162","10.8","9.81"
"Ethylparaben","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.96","2.98","7.01","8.34"
"Ethylparaben","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.547","0.00576","61.5","8.34"
"Ethylparaben","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.98","1.60","5.85","2.47"
"Ethylparaben","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0577","2.38e-4","4.22","2.47"
