"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.89","5.28","8.40","3.90"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0194","6.06e-4","0.791","3.90"
"Methyl 4-hydroxybenzoate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.06","2.46","5.50","1.32"
"Methyl 4-hydroxybenzoate","CTV Reference Dose NO(A)EL","mg/(kg·day)","13.2","0.477","531","1.32"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.49","1.49","5.43","0.925"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","49.3","0.569","4.91e+3","0.925"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.85","2.07","5.57","0.925"
"Methyl 4-hydroxybenzoate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","21.3","0.409","1.29e+3","0.925"
"Methyl 4-hydroxybenzoate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.34","5.95","10.4","1.55"
"Methyl 4-hydroxybenzoate","CTV Reference Concentration (RfC)","mg/m3","6.93e-4","6.63e-6","0.171","1.55"
"Methyl 4-hydroxybenzoate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.68","2.69","6.52","9.92"
"Methyl 4-hydroxybenzoate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.316","0.00324","21.5","9.92"
"Methyl 4-hydroxybenzoate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.02","3.04","7.07","8.41"
"Methyl 4-hydroxybenzoate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.685","0.00720","76.9","8.41"
"Methyl 4-hydroxybenzoate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.14","1.75","6.00","2.19"
"Methyl 4-hydroxybenzoate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0904","3.73e-4","6.61","2.19"
