"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"55701-05-8","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.06","5.45","8.57","4.10"
"55701-05-8","CTV Reference Dose (RfD)","mg/(kg·day)","0.0180","5.64e-4","0.735","4.10"
"55701-05-8","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.96","3.36","6.41","3.66"
"55701-05-8","CTV Reference Dose NO(A)EL","mg/(kg·day)","2.27","0.0820","91.3","3.66"
"55701-05-8","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.37","2.37","6.30","3.82"
"55701-05-8","CTV Reference Dose (RfD) BMD","mg/(kg·day)","9.00","0.104","896","3.82"
"55701-05-8","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.60","2.82","6.32","3.82"
"55701-05-8","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","5.28","0.101","319","3.82"
"55701-05-8","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.11","5.71","10.1","8.95"
"55701-05-8","CTV Reference Concentration (RfC)","mg/m3","0.00164","1.57e-5","0.405","8.95"
"55701-05-8","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.26","2.27","6.09","3.16"
"55701-05-8","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.0864","8.86e-4","5.89","3.16"
"55701-05-8","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.92","2.95","6.98","2.88"
"55701-05-8","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.402","0.00423","45.2","2.88"
"55701-05-8","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.02","1.63","5.88","9.63"
"55701-05-8","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0498","2.05e-4","3.64","9.63"
