"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.27","5.66","8.77","29.6"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD)","mg/(kg·day)","0.0105","3.29e-4","0.429","29.6"
"1-Hydroxyphenanthrene","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.24","2.64","5.68","7.36"
"1-Hydroxyphenanthrene","CTV Reference Dose NO(A)EL","mg/(kg·day)","11.1","0.402","448","7.36"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.64","1.64","5.58","5.60"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD) BMD","mg/(kg·day)","44.2","0.510","4.41e+3","5.60"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.00","2.22","5.72","5.60"
"1-Hydroxyphenanthrene","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","19.4","0.371","1.17e+3","5.60"
"1-Hydroxyphenanthrene","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.60","7.21","11.6","11.5"
"1-Hydroxyphenanthrene","CTV Reference Concentration (RfC)","mg/m3","4.88e-5","4.67e-7","0.0121","11.5"
"1-Hydroxyphenanthrene","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.21","3.22","7.04","61.8"
"1-Hydroxyphenanthrene","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.833","0.00855","56.8","61.8"
"1-Hydroxyphenanthrene","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.04","4.07","8.09","52.9"
"1-Hydroxyphenanthrene","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","5.69","0.0599","640","52.9"
"1-Hydroxyphenanthrene","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.15","2.77","7.01","12.3"
"1-Hydroxyphenanthrene","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.729","0.00301","53.3","12.3"
