"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.24","5.63","8.74","26.2"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0124","3.87e-4","0.504","26.2"
"3-Phenoxybenzoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.83","3.23","6.27","6.00"
"3-Phenoxybenzoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","3.15","0.114","127","6.00"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.79","1.79","5.73","4.46"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","34.5","0.398","3.44e+3","4.46"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.19","2.41","5.91","4.46"
"3-Phenoxybenzoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","13.9","0.266","839","4.46"
"3-Phenoxybenzoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.12","6.72","11.1","7.17"
"3-Phenoxybenzoic acid","CTV Reference Concentration (RfC)","mg/m3","1.64e-4","1.57e-6","0.0407","7.17"
"3-Phenoxybenzoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.70","2.71","6.53","59.5"
"3-Phenoxybenzoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.232","0.00238","15.8","59.5"
"3-Phenoxybenzoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.58","3.60","7.63","51.0"
"3-Phenoxybenzoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.76","0.0185","198","51.0"
"3-Phenoxybenzoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.51","2.13","6.38","9.00"
"3-Phenoxybenzoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.152","6.26e-4","11.1","9.00"
