"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.65","5.04","8.16","8.17"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD)","mg/(kg·day)","0.0623","0.00195","2.54","8.17"
"Octyl hydrogen phthalate","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.08","2.48","5.52","1.97"
"Octyl hydrogen phthalate","CTV Reference Dose NO(A)EL","mg/(kg·day)","23.1","0.835","929","1.97"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.73","1.73","5.67","3.22"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD) BMD","mg/(kg·day)","51.8","0.597","5.16e+3","3.22"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.05","2.27","5.76","3.22"
"Octyl hydrogen phthalate","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","24.9","0.478","1.51e+3","3.22"
"Octyl hydrogen phthalate","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.47","6.07","10.5","9.27"
"Octyl hydrogen phthalate","CTV Reference Concentration (RfC)","mg/m3","9.51e-4","9.10e-6","0.235","9.27"
"Octyl hydrogen phthalate","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.56","2.57","6.40","12.6"
"Octyl hydrogen phthalate","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.131","0.00135","8.96","12.6"
"Octyl hydrogen phthalate","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.40","3.42","7.45","13.2"
"Octyl hydrogen phthalate","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.907","0.00955","102","13.2"
"Octyl hydrogen phthalate","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.78","2.39","6.64","9.68"
"Octyl hydrogen phthalate","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.216","8.92e-4","15.8","9.68"
