"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.72","6.11","9.22","65.1"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0108","3.39e-4","0.441","65.1"
"Perfluoroundecanoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","6.10","4.49","7.54","42.4"
"Perfluoroundecanoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.451","0.0163","18.1","42.4"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.43","2.43","6.37","16.2"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","20.8","0.240","2.08e+3","16.2"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.74","2.96","6.46","16.2"
"Perfluoroundecanoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","10.2","0.195","615","16.2"
"Perfluoroundecanoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.39","5.99","10.4","66.6"
"Perfluoroundecanoic acid","CTV Reference Concentration (RfC)","mg/m3","0.00231","2.21e-5","0.571","66.6"
"Perfluoroundecanoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.81","2.83","6.65","18.1"
"Perfluoroundecanoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.116","0.00119","7.88","18.1"
"Perfluoroundecanoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.74","3.76","7.79","16.0"
"Perfluoroundecanoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.974","0.0103","110","16.0"
"Perfluoroundecanoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.28","2.89","7.14","25.9"
"Perfluoroundecanoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.337","0.00139","24.7","25.9"
