"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.52","5.91","9.03","8.23"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.00896","2.80e-4","0.365","8.23"
"perfluorobutanesulfonic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","5.71","4.10","7.15","5.25"
"perfluorobutanesulfonic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.587","0.0212","23.6","5.25"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.60","2.60","6.54","3.08"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","7.50","0.0865","747","3.08"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.95","3.16","6.66","3.08"
"perfluorobutanesulfonic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","3.40","0.0653","205","3.08"
"perfluorobutanesulfonic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.01","5.62","10.0","10.4"
"perfluorobutanesulfonic acid","CTV Reference Concentration (RfC)","mg/m3","0.00292","2.80e-5","0.724","10.4"
"perfluorobutanesulfonic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.55","2.56","6.38","5.04"
"perfluorobutanesulfonic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.118","0.00121","8.04","5.04"
"perfluorobutanesulfonic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.17","3.20","7.22","4.58"
"perfluorobutanesulfonic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.497","0.00523","55.9","4.58"
"perfluorobutanesulfonic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.51","2.13","6.37","6.68"
"perfluorobutanesulfonic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.108","4.46e-4","7.90","6.68"
