"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.31","5.70","8.81","40.8"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD)","mg/(kg·day)","0.0108","3.36e-4","0.439","40.8"
"1-HYDROXYPYRENE","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.42","2.82","5.87","13.3"
"1-HYDROXYPYRENE","CTV Reference Dose NO(A)EL","mg/(kg·day)","8.24","0.297","331","13.3"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.10","2.10","6.03","8.43"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD) BMD","mg/(kg·day)","17.5","0.202","1.75e+3","8.43"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.44","2.66","6.16","8.43"
"1-HYDROXYPYRENE","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","7.89","0.151","476","8.43"
"1-HYDROXYPYRENE","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.93","7.54","11.9","20.8"
"1-HYDROXYPYRENE","CTV Reference Concentration (RfC)","mg/m3","2.57e-5","2.46e-7","0.00635","20.8"
"1-HYDROXYPYRENE","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.54","4.55","8.37","71.6"
"1-HYDROXYPYRENE","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","15.9","0.163","1.08e+3","71.6"
"1-HYDROXYPYRENE","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.78","4.80","8.83","61.0"
"1-HYDROXYPYRENE","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","27.3","0.288","3.07e+3","61.0"
"1-HYDROXYPYRENE","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.84","3.45","7.70","18.0"
"1-HYDROXYPYRENE","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","3.13","0.0129","229","18.0"
