"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","6.76","5.15","8.27","4.69"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0310","9.70e-4","1.26","4.69"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.39","2.79","5.84","1.66"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","7.30","0.263","293","1.66"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.82","1.82","5.76","1.77"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","27.2","0.314","2.71e+3","1.77"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.20","2.42","5.92","1.77"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","11.3","0.216","680","1.77"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.27","5.87","10.3","4.32"
"2-(Methoxycarbonyl)benzoic acid","CTV Reference Concentration (RfC)","mg/m3","9.78e-4","9.37e-6","0.242","4.32"
"2-(Methoxycarbonyl)benzoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.67","2.68","6.50","10.6"
"2-(Methoxycarbonyl)benzoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.259","0.00266","17.7","10.6"
"2-(Methoxycarbonyl)benzoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.05","3.08","7.10","9.02"
"2-(Methoxycarbonyl)benzoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.627","0.00660","70.5","9.02"
"2-(Methoxycarbonyl)benzoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.31","1.93","6.18","3.93"
"2-(Methoxycarbonyl)benzoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.114","4.72e-4","8.36","3.93"
