"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.18","5.57","8.68","25.6"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD)","mg/(kg·day)","0.0121","3.78e-4","0.493","25.6"
"3-HYDROXYFLUORENE","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.33","2.72","5.77","9.50"
"3-HYDROXYFLUORENE","CTV Reference Dose NO(A)EL","mg/(kg·day)","8.60","0.310","345","9.50"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.50","1.51","5.44","4.22"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD) BMD","mg/(kg·day)","57.0","0.658","5.68e+3","4.22"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.78","2.00","5.50","4.22"
"3-HYDROXYFLUORENE","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","30.3","0.581","1.83e+3","4.22"
"3-HYDROXYFLUORENE","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.62","6.23","10.6","9.58"
"3-HYDROXYFLUORENE","CTV Reference Concentration (RfC)","mg/m3","4.34e-4","4.16e-6","0.108","9.58"
"3-HYDROXYFLUORENE","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","5.04","3.05","6.87","50.0"
"3-HYDROXYFLUORENE","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.597","0.00613","40.7","50.0"
"3-HYDROXYFLUORENE","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.83","3.85","7.88","42.4"
"3-HYDROXYFLUORENE","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","3.67","0.0387","413","42.4"
"3-HYDROXYFLUORENE","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.96","2.57","6.82","10.2"
"3-HYDROXYFLUORENE","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.499","0.00206","36.5","10.2"
