"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2-NAPHTHOL","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.08","5.47","8.58","13.7"
"2-NAPHTHOL","CTV Reference Dose (RfD)","mg/(kg·day)","0.0120","3.76e-4","0.490","13.7"
"2-NAPHTHOL","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","3.87","2.27","5.31","2.93"
"2-NAPHTHOL","CTV Reference Dose NO(A)EL","mg/(kg·day)","19.5","0.703","783","2.93"
"2-NAPHTHOL","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","3.47","1.47","5.41","2.43"
"2-NAPHTHOL","CTV Reference Dose (RfD) BMD","mg/(kg·day)","49.0","0.565","4.88e+3","2.43"
"2-NAPHTHOL","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","3.69","1.91","5.40","2.43"
"2-NAPHTHOL","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","29.6","0.568","1.79e+3","2.43"
"2-NAPHTHOL","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.11","5.71","10.1","4.24"
"2-NAPHTHOL","CTV Reference Concentration (RfC)","mg/m3","0.00113","1.08e-5","0.279","4.24"
"2-NAPHTHOL","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.72","2.73","6.55","33.1"
"2-NAPHTHOL","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.365","0.00375","24.9","33.1"
"2-NAPHTHOL","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.41","3.44","7.46","28.3"
"2-NAPHTHOL","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","1.80","0.0189","202","28.3"
"2-NAPHTHOL","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","4.16","1.78","6.02","6.47"
"2-NAPHTHOL","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.100","4.13e-4","7.33","6.47"
