"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"Perfluorodecanoic acid","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.68","6.07","9.19","50.8"
"Perfluorodecanoic acid","CTV Reference Dose (RfD)","mg/(kg·day)","0.0107","3.36e-4","0.438","50.8"
"Perfluorodecanoic acid","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","6.05","4.45","7.49","33.1"
"Perfluorodecanoic acid","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.456","0.0164","18.3","33.1"
"Perfluorodecanoic acid","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.45","2.45","6.39","13.4"
"Perfluorodecanoic acid","CTV Reference Dose (RfD) BMD","mg/(kg·day)","18.2","0.210","1.81e+3","13.4"
"Perfluorodecanoic acid","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","4.76","2.98","6.48","13.4"
"Perfluorodecanoic acid","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","8.91","0.171","538","13.4"
"Perfluorodecanoic acid","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.38","5.99","10.4","50.6"
"Perfluorodecanoic acid","CTV Reference Concentration (RfC)","mg/m3","0.00214","2.05e-5","0.530","50.6"
"Perfluorodecanoic acid","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.75","2.76","6.58","14.4"
"Perfluorodecanoic acid","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.110","0.00112","7.47","14.4"
"Perfluorodecanoic acid","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","5.62","3.64","7.67","12.6"
"Perfluorodecanoic acid","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.812","0.00855","91.3","12.6"
"Perfluorodecanoic acid","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","5.06","2.68","6.93","21.0"
"Perfluorodecanoic acid","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.225","9.27e-4","16.4","21.0"
