"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","7.43","5.82","8.94","3.77"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD)","mg/(kg·day)","0.00734","2.30e-4","0.299","3.77"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","4.44","2.84","5.88","2.13"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose NO(A)EL","mg/(kg·day)","7.22","0.261","290","2.13"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","4.83","2.83","6.76","0.230"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD) BMD","mg/(kg·day)","2.95","0.0341","294","0.230"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","5.12","3.34","6.84","0.230"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","1.49","0.0286","90.1","0.230"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Concentration (RfC)","  -Log10Mol/m3","8.61","6.22","10.6","0.751"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Reference Concentration (RfC)","mg/m3","4.85e-4","4.64e-6","0.120","0.751"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","4.46","2.47","6.29","4.35"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","0.146","0.00149","9.93","4.35"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","4.83","2.85","6.88","3.65"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","0.339","0.00357","38.2","3.65"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","3.67","1.29","5.54","0.787"
"3,5,6-TRICHLORO-2-PYRIDINOL","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","0.0238","9.81e-5","1.74","0.787"
