"Chemical name","Model Name","Unit","Prediction","Lower 95%*","Upper 95%*","Appl Domain**"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD)","  -Log10Mol/(kg·day)","9.75","8.14","11.3","40.2"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD)","mg/(kg·day)","1.28e-4","4.02e-6","0.00524","40.2"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose NO(A)EL","  -Log10Mol/(kg·day)","6.01","4.41","7.45","24.3"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose NO(A)EL","mg/(kg·day)","0.706","0.0255","28.4","24.3"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD) BMD","  -Log10Mol/(kg·day)","5.87","3.87","7.81","10.6"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD) BMD","mg/(kg·day)","0.972","0.0112","96.8","10.6"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD) BMDL","  -Log10Mol/(kg·day)","6.18","4.40","7.90","10.6"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Dose (RfD) BMDL","mg/(kg·day)","0.473","0.00908","28.6","10.6"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Concentration (RfC)","  -Log10Mol/m3","9.78","7.39","11.8","19.5"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Reference Concentration (RfC)","mg/m3","1.20e-4","1.15e-6","0.0296","19.5"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Oral Slope Factor (OSF)","Log10(risk per Mol/(kg·day))","6.47","4.48","8.31","64.7"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Oral Slope Factor (OSF)","risk per mg/(kg·day)","4.12","0.0423","281","64.7"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Cancer Potency Value (CPV)","Log10(risk per Mol/(kg·day))","6.87","4.90","8.92","56.7"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Cancer Potency Value (CPV)","risk per mg/(kg·day)","10.3","0.109","1.16e+3","56.7"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Inhalation Unit Risk (IUR)","Log10(m3/Mol)","6.91","4.53","8.78","15.9"
"2,2',3,4,4',5',6-heptabromodiphenyl ether","CTV Inhalation Unit Risk (IUR)","risk per µg/m3","11.3","0.0466","826","15.9"
